Criteria,Score,Comments
Workload_Dist,0,Comments
Commits,0,Comments
Unique_Committers,0,Comments
Issue_Reports,0,Comments
Issues_Closed,0,Comments
Doc_Quality,0,Comments
Func/Class_Desc,0,Comments
Tutorials,0,Comments
Doc_Storytelling,0,Comments
Project_Videos,0,Comments
Version_Control,0,Comments
Style_Checkers,0,Comments
Code_Formatters,0,Comments
Syntax_Checkers,0,Comments
Code_Coverage,0,Comments
Other_Tools,0,Comments
Test_Cases,0,Comments
Routine_Tests,0,Comments
CONTRIBUTING_Guide,0,Comments
Issue_Discussions,0,Comments
Chat_Channel,0, Comments
Failing_Case_Issues,0,Comments
Team_Tool_Usage,0,Comments
Repo_Configs,0,Comments
Team_System_Knowledge,0,Comments 
Team_Code_Contrib,0,Comments
Release_Cycles,0,Comments
Documentation_Video,0,Comments
Software_Eval,0,Comments
